id,"description","category",day_of_week,day_of_month,month,year,amount,"currency_code","mode",account_id,"hashed_user_id",recurrent_bill
878,"VIRGIN ACTIVE 001200026840020006","transfer",4,1,12,2016,-76,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",1
879,"H3G 970304399301291116","phone",4,1,12,2016,-23,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",1
880,"EQUINOX RE LTD","personal_care",4,1,12,2016,-1127,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",0
881,"http://dev.mysql.com/doc/refman/5.7/en/index.html","movies_and_music",5,2,12,2016,-14.99,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",1
882,"NON-STG PURCH FEE CD 8218","provider_fee",5,2,12,2016,-1,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",0
883,"NON-STG TRANS FEE 2.99% CD 8218","fees_and_charges",5,2,12,2016,-0.17,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",0
884,"VISIT PATREON.COM/ US 07.20 VISAXR 1.25 CD 8218","entertainment",5,2,12,2016,-5.76,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",1
885,"NON-STG PURCH FEE CD 3027","provider_fee",1,5,12,2016,-1,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",0
886,"NON-STG TRANS FEE 2.99% CD 3027","fees_and_charges",1,5,12,2016,-0.76,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",0
887,"BlablacarFR EUROS 30.00 VISAXR 1.17832 CD 3027","transportation",1,5,12,2016,-25.46,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",0
888,"ITUNES.COM/BILL CD 8218","electronics_and_software",2,6,12,2016,-22.99,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",0
889,"RIDGEVIEW ESTATE W CD 7828","parking",2,6,12,2016,54,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",0
890,"C LOISEAU 309072 22066068","transfer",2,6,12,2016,-200,"GBP","transfer",336047,"66ktl7YKx/ncYeWujNf/JA==",0
891,"LAFATA LTD","transfer",2,6,12,2016,1049.92,"GBP","transfer",336047,"66ktl7YKx/ncYeWujNf/JA==",0
892,"LEGO STORE CD 8218","toys",2,6,12,2016,-3.99,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",0
893,"LNK MRH - PARK LAN CD 7828 07DEC16 ATM OWNER FEE 1.85","provider_fee",3,7,12,2016,-21.85,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",0
894,"H3G 971084818601051216","phone",3,7,12,2016,-27.82,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",1
895,"C LOISEAU 309072 22066068","transfer",4,8,12,2016,50,"GBP","transfer",336047,"66ktl7YKx/ncYeWujNf/JA==",0
896,"C LOISEAU 309072 22066068","transfer",4,8,12,2016,500,"GBP","transfer",336047,"66ktl7YKx/ncYeWujNf/JA==",0
897,"C LOISEAU 309072 22066068","transfer",5,9,12,2016,200,"GBP","transfer",336047,"66ktl7YKx/ncYeWujNf/JA==",0
898,"C LOISEAU 309072 22066068","transfer",5,9,12,2016,-550,"GBP","transfer",336047,"66ktl7YKx/ncYeWujNf/JA==",0
899,"LUKAS CHRISTIAN ZO LUKAS 760730019100","shopping",5,9,12,2016,1000,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",0
900,"F-851400 FRAUD REFUND","transfer",1,12,12,2016,472.61,"GBP","transfer",336047,"66ktl7YKx/ncYeWujNf/JA==",0
901,"GOATIES BARBERS CD 8218","mortgage_and_rent",1,12,12,2016,-17,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",0
902,"AMERICAN EXPRESS CD 7828","transfer",1,12,12,2016,-1588.62,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",0
903,"THE BLACKSMITH AND CD 8218","uncategorized",1,12,12,2016,-9.2,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",0
904,"N/A CD 3511","uncategorized",1,12,12,2016,-472.61,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",0
905,"C LOISEAU 10DEC16 309072 22066068","transfer",1,12,12,2016,100,"GBP","transfer",336047,"66ktl7YKx/ncYeWujNf/JA==",0
906,"M MARGOT XMAS WINE","transfer",5,16,12,2016,7.38,"GBP","transfer",336047,"66ktl7YKx/ncYeWujNf/JA==",0
907,"C CARDINALI BAD ASS CHRISTMAS","transfer",5,16,12,2016,7.38,"GBP","transfer",336047,"66ktl7YKx/ncYeWujNf/JA==",0
908,"ITUNES.COM/BILL CD 8218","electronics_and_software",1,19,12,2016,-13.99,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",0
909,"OLD RED LION THEAT CD 8218","alcohol_and_bars",1,19,12,2016,-8.8,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",0
910,"NISA LOCAL CD 8218","uncategorized",2,20,12,2016,-10.5,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",0
911,"MONZO CD 8218","transfer",4,22,12,2016,-100,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",0
912,"MOBILLITY LT DEC16 MOBILLITY 836546711301622101 26DEC16","shopping",3,28,12,2016,983.6,"GBP","normal",336047,"66ktl7YKx/ncYeWujNf/JA==",0
913,"CO-OP GROUP FOOD CD 3471","groceries",4,1,12,2016,-5.99,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
914,"TESCO STORES 2249 CD 3471","groceries",4,1,12,2016,-3,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
915,"TESCO STORES 2249 CD 3471","groceries",5,2,12,2016,-3,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
916,"SAINSBURYS S/MKTS CD 3471","groceries",1,5,12,2016,-28.74,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
917,"Amazon UK Marketpl CD 3471","shopping",1,5,12,2016,-5.28,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
918,"WWW.CAMDEN.GOV.UK CD 3471","alcohol_and_bars",1,5,12,2016,-242,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
919,"FORBIDDEN PLANET CD 3471","food_and_dining",1,5,12,2016,-112.2,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
920,"WorderyEU CD 3471","books_and_supplies",1,5,12,2016,-66.11,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
921,"W & G FOYLE LTD CD 3471","books_and_supplies",1,5,12,2016,-22.98,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
922,"WorderyEU CD 3471","books_and_supplies",1,5,12,2016,-17.08,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
923,"SAINSBURYS S/MKTS CD 3471","groceries",1,5,12,2016,-12.95,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
924,"SAVINGS","transfer",1,5,12,2016,-15,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
925,"BUXTON C R COUNCIL 03DEC16 352995132101302101","taxes",1,5,12,2016,120,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
926,"TFL.GOV.UK/CP CD 3471","public_transportation",1,5,12,2016,-6.7,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
927,"Amazon UK Marketpl CD 3471","shopping",2,6,12,2016,-26.68,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
928,"Amazon Svcs Europe CD 3471","service_fee",2,6,12,2016,-2.81,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
929,"Amazon UK Marketpl CD 3471","shopping",2,6,12,2016,-2.81,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
930,"CO-OP GROUP FOOD CD 3471","groceries",2,6,12,2016,-2.69,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
931,"JAPAN CENTRE ONLIN CD 3471","shopping",3,7,12,2016,-11.44,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
932,"TESCO STORES 2789 CD 3471","groceries",3,7,12,2016,-6,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
933,"TESCO STORES 2249 CD 3471","groceries",3,7,12,2016,-4.3,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
934,"TESCO STORES 2249 CD 3471","groceries",3,7,12,2016,-3.7,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
935,"TFL.GOV.UK/CP CD 3471","public_transportation",4,8,12,2016,-5.6,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
936,"TESCO STORES 2249 CD 3471","groceries",4,8,12,2016,-5.99,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
937,"TESCO STORES 2249 CD 3471","groceries",4,8,12,2016,-2.1,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
938,"LNK TESCO ST KAT D CD 3471 09DEC16","groceries",5,9,12,2016,-20,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
939,"F/FLOW GERALD V RA","transfer",5,9,12,2016,459.84,"GBP","transfer",336053,"lEK3ipuaczcFOssrtqvlDw==",0
940,"AMAZON UK RETAIL A CD 3471","shopping",1,12,12,2016,-37.37,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
941,"BUXTON C R RENT 3062498064321109SO","transfer",1,12,12,2016,562,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
942,"SAVINGS","transfer",1,12,12,2016,-15,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
943,"TESCO STORES 2249 CD 3471","groceries",1,12,12,2016,-2.1,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
944,"Amazon UK Marketpl CD 3471","shopping",2,13,12,2016,-1.92,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
945,"SAINSBURY'S S/MKTS CD 3471","groceries",2,13,12,2016,-2.33,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
946,"AMAZON MKTPLACE PM CD 3471","shopping",4,15,12,2016,-13.87,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
947,"BATTERSEA DOGS AND Z0970829/1/23","cafes_and_restaurants",4,15,12,2016,-10,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",1
948,"M RAYMOND","uncategorized",1,5,12,2016,15,"GBP","normal",336054,"lEK3ipuaczcFOssrtqvlDw==",0
949,"M RAYMOND","uncategorized",1,12,12,2016,15,"GBP","normal",336054,"lEK3ipuaczcFOssrtqvlDw==",0
950,"INTEREST (GROSS)","investment_income",4,15,12,2016,0.01,"GBP","normal",336054,"lEK3ipuaczcFOssrtqvlDw==",0
951,"CATS PROTECTION DON1636681","cafes_and_restaurants",4,15,12,2016,-10,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",1
952,"TESCO STORES 2249 CD 3471","groceries",4,15,12,2016,-5.99,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
953,"TESCO STORES 2249 CD 3471","groceries",4,15,12,2016,-2.4,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
954,"TFL.GOV.UK/CP CD 3471","public_transportation",5,16,12,2016,-2.4,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
955,"TESCO STORES 2249 CD 3471","groceries",5,16,12,2016,-2.4,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
956,"MCLTDCLIENTACCOUNT","transfer",5,16,12,2016,-1083.3,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
957,"W & G FOYLE LTD CD 3471","books_and_supplies",1,19,12,2016,-28.96,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
958,"TFL.GOV.UK/CP CD 3471","public_transportation",1,19,12,2016,-2.4,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
959,"VIRGIN MEDIA PYMTS 048860102001","transfer",1,19,12,2016,-32.39,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",1
960,"SAVINGS","transfer",1,19,12,2016,-15,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
961,"LNK 400202SHAFTSB CD 3471 18DEC16","transfer",1,19,12,2016,-20,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
962,"TFL.GOV.UK/CP CD 3471","public_transportation",1,19,12,2016,-5.6,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
963,"TESCO STORES 2789 CD 3471","groceries",1,19,12,2016,-3.3,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
964,"TESCO STORES 2249 CD 3471","groceries",1,19,12,2016,-2.4,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
965,"TESCO STORES 2249 CD 3471","groceries",2,20,12,2016,-5.99,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
966,"ALGERIAN COFFE STO CD 3471","food_and_dining",2,20,12,2016,-19.9,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
967,"TESCO STORES 2249 CD 3471","groceries",2,20,12,2016,-5.56,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
968,"TESCO STORES 2249 CD 3471","groceries",2,20,12,2016,-2.65,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
969,"E.ON 013133956300A","transfer",2,20,12,2016,-35,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",1
970,"CO-OP GROUP FOOD CD 3471","groceries",3,21,12,2016,-5.33,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
971,"TESCO STORES 2249 CD 3471","groceries",3,21,12,2016,-3,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
972,"TFL.GOV.UK/CP CD 3471","public_transportation",4,22,12,2016,-2.4,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
973,"F/FLOW GERALD V RA","transfer",4,22,12,2016,200,"GBP","transfer",336053,"lEK3ipuaczcFOssrtqvlDw==",0
974,"TESCO STORES 2249 CD 3471","groceries",4,22,12,2016,-2.4,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
975,"TFL.GOV.UK/CP CD 3471","public_transportation",5,23,12,2016,-2.4,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
976,"SAINSBURYS S/MKTS CD 3471","groceries",5,23,12,2016,1,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
977,"TESCO STORES 2789 CD 3471","groceries",5,23,12,2016,-11.32,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
978,"TESCO STORES 2249 CD 3471","groceries",5,23,12,2016,-3.7,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
979,"TESCO STORES 2249 CD 3471","groceries",5,23,12,2016,-3,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
980,"STEAMGAMES.COM CD 3471","games",3,28,12,2016,-10.99,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
981,"STEAMGAMES.COM CD 3471","games",3,28,12,2016,-3.24,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
982,"SAVINGS","transfer",3,28,12,2016,-15,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
983,"MOBILLITY LT DEC16 MOBILLITY 975684431301622101 26DEC16","shopping",3,28,12,2016,851.24,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
984,"SAINSBURYS S/MKTS CD 3471","groceries",3,28,12,2016,-50.1,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
985,"WWW.PETPLANET.CO.U CD 3471","pets",3,28,12,2016,-39.96,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
986,"MIP*VODAFONE TOPUP CD 3471","phone",3,28,12,2016,-5,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",1
987,"Amazon UK Marketpl CD 3471","shopping",3,28,12,2016,-12.62,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
988,"SAINSBURYS S/MKTS CD 3471","groceries",3,28,12,2016,-27.7,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
989,"CO-OP GROUP FOOD CD 3471","groceries",4,29,12,2016,-7.8,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
990,"TFL.GOV.UK/CP CD 3471","public_transportation",5,30,12,2016,-3.1,"GBP","normal",336053,"lEK3ipuaczcFOssrtqvlDw==",0
991,"M RAYMOND","uncategorized",1,19,12,2016,15,"GBP","normal",336054,"lEK3ipuaczcFOssrtqvlDw==",0
992,"M RAYMOND","uncategorized",3,28,12,2016,15,"GBP","normal",336054,"lEK3ipuaczcFOssrtqvlDw==",0
993,"INTEREST (GROSS)","investment_income",5,16,12,2016,17.54,"GBP","normal",336055,"lEK3ipuaczcFOssrtqvlDw==",0
994,"THAMES WATER","transfer",4,1,12,2016,-27.02,"GBP","normal",336190,"Jy5+wuYePYpZwSHbkM8o6w==",1
995,"SHAKE SHACK COVENT","food_and_dining",4,1,12,2016,-16.25,"GBP","normal",336190,"Jy5+wuYePYpZwSHbkM8o6w==",0
996,"UAIDOO LTD","uncategorized",4,1,12,2016,468,"GBP","normal",336190,"Jy5+wuYePYpZwSHbkM8o6w==",0
997,"600102","uncategorized",4,1,12,2016,18.45,"GBP","normal",336190,"Jy5+wuYePYpZwSHbkM8o6w==",0
998,"UBER GB DEC01","taxi",5,2,12,2016,-0.4,"GBP","normal",336190,"Jy5+wuYePYpZwSHbkM8o6w==",0
999,"W H SMITH","uncategorized",1,5,12,2016,-3.99,"GBP","normal",336190,"Jy5+wuYePYpZwSHbkM8o6w==",0
1000,"SKYLON","cafes_and_restaurants",1,5,12,2016,-48.56,"GBP","normal",336190,"Jy5+wuYePYpZwSHbkM8o6w==",0
1001,"AMAZON UK RETAIL","shopping",1,5,12,2016,-24.98,"GBP","normal",336190,"Jy5+wuYePYpZwSHbkM8o6w==",0
1002,"WIZZ AIR HU","transportation",1,5,12,2016,-10.5,"GBP","normal",336190,"Jy5+wuYePYpZwSHbkM8o6w==",0
1003,"UWAVE LTD","business_services",1,5,12,2016,250,"GBP","normal",336190,"Jy5+wuYePYpZwSHbkM8o6w==",0
1004,"WWW.KINGDOM.CO.UK","internet",3,14,12,2016,-80,"GBP","normal",336190,"Jy5+wuYePYpZwSHbkM8o6w==",0
1005,"DELFONT MACKINTOSH","arts",3,28,12,2016,-125.25,"GBP","normal",336190,"Jy5+wuYePYpZwSHbkM8o6w==",0
1006,"UAIDOO LTD","uncategorized",5,30,12,2016,468,"GBP","normal",336190,"Jy5+wuYePYpZwSHbkM8o6w==",0
1007,"SKY DIGITAL","transfer",5,30,12,2016,-25,"GBP","normal",336190,"Jy5+wuYePYpZwSHbkM8o6w==",1
1008,"TRANSPORT TRADING","business_services",5,30,12,2016,73.2,"GBP","normal",336190,"Jy5+wuYePYpZwSHbkM8o6w==",0
1009,"TRANSPORT TRADING","business_services",5,30,12,2016,73.2,"GBP","normal",336190,"Jy5+wuYePYpZwSHbkM8o6w==",0
1010,"TRANSPORT TRADING","business_services",5,30,12,2016,73.2,"GBP","normal",336190,"Jy5+wuYePYpZwSHbkM8o6w==",0
1011,"L.B. HACKNEY NNDR","taxes",4,1,12,2016,-1041,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1012,"BRITISH GAS SERV","utilities",4,1,12,2016,-28.93,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",1
1013,"24 NOV 16 THE PRINCESS OF SHORED LONDON EC2A GBR","alcohol_and_bars",5,2,12,2016,-15.9,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1014,"EMM LTD EMM LTD EMM 0047 REF-EMM 0047","uncategorized",3,7,12,2016,26.4,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1015,"05 DEC 16 WWW.VIKING-DIRECT.CO.U GRO OSTHEIM DEU DEU","uncategorized",3,7,12,2016,-41.02,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1016,"MICROSOFT OFFICE 36 Dublin IRL IRL","electronics_and_software",4,8,12,2016,-7.99,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",1
1017,"07 DEC 16 GWR LOND PADD SST PADDINGTON GBR","transportation",5,9,12,2016,-36.4,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1018,"07 DEC 16 ZIPCAR WIMBLEDON GBR GBR","car_rental",1,12,12,2016,-43.89,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1019,"THAMES WATER","transfer",1,12,12,2016,-25.68,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",1
1020,"11 DEC 16 MICROSOFT OFFICE 36 Dublin IRL IRL","electronics_and_software",2,13,12,2016,-7.99,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",1
1021,"11 DEC 16 DNH GODADDY.COM EUROPE GODADDY.COM GBR GBR","business_services",2,13,12,2016,-429.19,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
